sepal_like_len,sepal_like_width,petal_like_len,petal_like_width,class_id,class_name
4.883,3.1765,1.1977,0.3176,0,class_a
4.9048,3.0664,1.5513,0.2764,0,class_a
5.2245,3.084,1.3946,0.1793,0,class_a
4.7835,3.1047,1.1106,0.1803,0,class_a
4.9066,3.0757,0.9166,0.0279,0,class_a
4.7636,3.1502,1.4877,0.1288,0,class_a
4.9364,3.0948,1.5464,0.343,0,class_a
5.1445,3.1453,1.0097,0.28,0,class_a
5.8019,2.6316,4.2922,1.3095,1,class_b
5.6038,2.6413,4.3604,1.199,1,class_b
5.5704,2.8179,4.0213,1.2405,1,class_b
6.004,2.5459,4.2772,1.3483,1,class_b
6.2616,2.7969,4.3278,1.3471,1,class_b
5.9006,2.7189,4.2309,1.2223,1,class_b
5.6693,2.6755,4.2494,1.3235,1,class_b
5.9773,2.6356,3.9765,1.1655,1,class_b
6.6789,2.8842,5.7864,1.9142,2,class_c
6.5782,2.7701,5.1885,2.0798,2,class_c
6.5835,3.0193,5.681,1.9622,2,class_c
6.5079,2.9461,5.2537,1.9857,2,class_c
6.4255,3.0039,5.7299,1.9073,2,class_c
6.2657,2.9408,5.4103,1.9669,2,class_c
6.4954,3.1332,5.8117,1.9253,2,class_c
6.613,3.1198,5.7139,2.0617,2,class_c
