sample_id,y_true,y_pred,class_name,p_true,ce_residual,margin,correct,optimizer
0,2,2,virginica,0.9566107305944396,0.04435873036791296,3.1253321666058005,True,MySGD
1,0,0,setosa,0.9928061639915726,0.007219836416842811,4.948515316540779,True,MySGD
2,0,0,setosa,0.9984584042085398,0.0015427852728758437,6.47863530738421,True,MySGD
3,2,1,virginica,0.01688690176095536,4.081217001285231,-4.0608460194043,False,MySGD
4,1,1,versicolor,0.8989368204479419,0.10654252456859845,2.193992744162018,True,MySGD
5,1,1,versicolor,0.9558376858384573,0.045167165033593706,3.123158528844807,True,MySGD
6,2,2,virginica,0.9808667412555152,0.019318668342582716,3.937100028365446,True,MySGD
7,1,1,versicolor,0.5997397160295806,0.5112595245046682,0.40447394085366994,True,MySGD
8,2,2,virginica,0.9675068036033246,0.033032821954786455,3.3944705721843675,True,MySGD
9,0,0,setosa,0.9951212562102126,0.0048906837106435725,5.350432916175286,True,MySGD
10,0,0,setosa,0.9822392443392757,0.01792037062716386,4.033554755871914,True,MySGD
11,2,2,virginica,0.7495236737194161,0.28831737592174655,1.1059837422619805,True,MySGD
12,0,0,setosa,0.9981030689790661,0.0018987324730971532,6.270122000571458,True,MySGD
13,1,1,versicolor,0.8957775665317294,0.11006314846544032,2.2137332492837904,True,MySGD
14,0,0,setosa,0.9987809337631763,0.0012198099025151404,6.7143032502999045,True,MySGD
15,1,1,versicolor,0.7609920521695505,0.2731323651046209,1.1586662175555897,True,MySGD
16,2,2,virginica,0.9860341978938383,0.014064241518648376,4.258001678865965,True,MySGD
17,1,1,versicolor,0.9328350457795888,0.06952689357323631,3.2945783050852606,True,MySGD
18,1,1,versicolor,0.9306262504617321,0.07189753186526915,2.614069034792404,True,MySGD
19,2,2,virginica,0.957479150671085,0.043451332920456415,3.11665665255585,True,MySGD
20,2,2,virginica,0.9892415842849772,0.010816705919858305,4.521444101812539,True,MySGD
21,0,0,setosa,0.9986067084942329,0.0013942630389011774,6.584990959235208,True,MySGD
22,1,1,versicolor,0.9242788438427509,0.07874147381599533,2.5137191667523044,True,MySGD
23,2,2,virginica,0.773764292071332,0.2564879839793403,1.2394776693143341,True,MySGD
24,1,1,versicolor,0.9775573393880791,0.022698329622459743,4.092671628460203,True,MySGD
25,1,1,versicolor,0.7528087289340707,0.28394409548851257,1.1527545079697625,True,MySGD
26,1,1,versicolor,0.9086651552345322,0.09577861874673087,2.405643986647458,True,MySGD
27,2,2,virginica,0.9981470824462513,0.0018546363289732365,6.294645684807027,True,MySGD
28,0,0,setosa,0.9899629347198015,0.010087776231351866,4.60546823695841,True,MySGD
29,2,2,virginica,0.950014336654472,0.0512782032861881,2.9468819127647294,True,MySGD
30,0,0,setosa,0.9984420893752552,0.0015591254293707254,6.47068974542231,True,MySGD
31,0,0,setosa,0.9981734495387771,0.001828220638602004,6.327697791911261,True,MySGD
32,1,1,versicolor,0.9872029736090191,0.012879613670822633,4.350298614589245,True,MySGD
33,1,1,versicolor,0.9731124746642509,0.027255607727318776,3.61849513481101,True,MySGD
34,2,2,virginica,0.9686325433155809,0.03186995127514635,3.4301533432743234,True,MySGD
35,2,2,virginica,0.9827505143038505,0.01739999134898857,4.043286755954191,True,MySGD
36,0,0,setosa,0.9991823486230597,0.000817985836153901,7.121170169194333,True,MySGD
37,0,0,setosa,0.9957423703835853,0.00426671913042074,5.464903637467515,True,MySGD
38,0,0,setosa,0.9972818875499724,0.0027218132252765006,5.9168840394237705,True,MySGD
39,1,1,versicolor,0.9112420765207354,0.0929466908732201,2.3318534636288644,True,MySGD
40,2,2,virginica,0.9939808880719477,0.006037299802212847,5.108071429441929,True,MySGD
41,2,2,virginica,0.6756909912831183,0.39201942093390346,0.7546893642465677,True,MySGD
42,1,1,versicolor,0.6701980360775277,0.4001820340360589,0.7103577761536215,True,MySGD
43,0,0,setosa,0.9981042687017095,0.0018975304710597833,6.282547072827595,True,MySGD
44,0,0,setosa,0.9984476488965865,0.0015535572487899332,6.478611874705111,True,MySGD
0,2,2,virginica,0.96840645819885,0.032103385003203276,3.4341190660450653,True,MyMomentum
1,0,0,setosa,0.9975609800210217,0.0024419992335006887,6.0198047025157875,True,MyMomentum
2,0,0,setosa,0.999673477138695,0.00032657618150160294,8.027822474611453,True,MyMomentum
3,2,1,virginica,0.015845114980279046,4.144894029300164,-4.127130276254844,False,MyMomentum
4,1,1,versicolor,0.9785517196328631,0.02168163750516416,3.8278394269280507,True,MyMomentum
