epoch,variant,relu_after_dense2,train_loss,val_loss,val_accuracy,val_macro_f1,dense2_raw_positive_ratio,score_to_loss_zero_ratio,score_to_loss_mean_abs,test_used
0,raw_logits_no_relu_after_Dense2,False,2.4851021754659763,1.7841453157132101,0.21052631578947367,0.19753086419753085,0.6228070175438597,0.0,0.583043272672551,False
1,raw_logits_no_relu_after_Dense2,False,1.3558314587742537,1.005386177499854,0.47368421052631576,0.4807843137254902,0.4298245614035088,0.0,0.47172950841173283,False
2,raw_logits_no_relu_after_Dense2,False,0.677761441511928,0.6519587293936617,0.7368421052631579,0.732905982905983,0.40350877192982454,0.0,0.8176238686309181,False
3,raw_logits_no_relu_after_Dense2,False,0.4538849264972508,0.5501502667430483,0.7368421052631579,0.732905982905983,0.4298245614035088,0.0,1.195110601418512,False
4,raw_logits_no_relu_after_Dense2,False,0.3860562212115993,0.502263039430538,0.7368421052631579,0.732905982905983,0.43859649122807015,0.0,1.4675002111026005,False
5,raw_logits_no_relu_after_Dense2,False,0.34858560865986465,0.46221998218254623,0.7368421052631579,0.732905982905983,0.4473684210526316,0.0,1.6513378942999737,False
6,raw_logits_no_relu_after_Dense2,False,0.3221719635591188,0.4307019021730132,0.7368421052631579,0.732905982905983,0.4473684210526316,0.0,1.7888261210897678,False
7,raw_logits_no_relu_after_Dense2,False,0.30289614651283625,0.39975127308948993,0.7368421052631579,0.732905982905983,0.4473684210526316,0.0,1.8795884705424735,False
8,raw_logits_no_relu_after_Dense2,False,0.2851413525715966,0.37002486245712946,0.7368421052631579,0.732905982905983,0.45614035087719296,0.0,1.9579708017364261,False
9,raw_logits_no_relu_after_Dense2,False,0.2697918133673402,0.34235453146187167,0.7368421052631579,0.732905982905983,0.4649122807017544,0.0,2.0262526180528737,False
10,raw_logits_no_relu_after_Dense2,False,0.25454180383504904,0.3188838980004027,0.7894736842105263,0.7835497835497836,0.4649122807017544,0.0,2.0827454930645573,False
11,raw_logits_no_relu_after_Dense2,False,0.24342449987044862,0.29553966198740983,0.8157894736842105,0.8084291187739462,0.45614035087719296,0.0,2.133928138709895,False
