step,w0,w1,loss,grad_norm,update_norm,state_norm,optimizer,lr_used_in_surface
0,5.0,2.5,15.0,10.04987562112089,1.80897761180176,0.0,MySGD,0.18
1,4.82,0.7000000000000002,3.3032400000000006,2.9612997146523354,0.5330339486374204,0.0,MySGD,0.18
2,4.64648,0.19600000000000006,2.2358096390400006,1.2158318368985082,0.21884973064173135,0.0,MySGD,0.18
3,4.4792067200000005,0.05488000000000001,2.012352912849316,0.9223452412300541,0.16602214342140986,0.0,MySGD,0.18
4,4.31795527808,0.015366400000000002,1.8649460308478132,0.8657756818733808,0.15583962273720853,0.0,MySGD,0.18
5,4.16250888806912,0.004302592000000001,1.7326850489212793,0.8326796541869343,0.14988233775364798,0.0,MySGD,0.18
6,4.012658568098632,0.0012047257600000002,1.6101457811418503,0.8025461813453003,0.14445831264215384,0.0,MySGD,0.18
7,3.8682028596470817,0.0003373232128000001,1.496299563912086,0.7736417485674315,0.13925551474213785,0.0,MySGD,0.18
8,3.7289475566997865,9.445049958400003e-05,1.3905050059035247,0.745789607033406,0.13424212926601306,0.0,MySGD,0.18
9,3.594705444658594,2.6446139883520007e-05,1.2921907247846107,0.7189410967142572,0.1294093974085665,0.0,MySGD,0.18
10,3.4652960486508846,7.404919167385602e-06,1.200827670589209,0.6930592103631137,0.1247506578653603,0.0,MySGD,0.18
11,3.340545390899453,2.073377366867969e-06,1.1159243508745558,0.668109078231366,0.12025963408164583,0.0,MySGD,0.18
12,3.2202857568270726,5.805456627230314e-07,1.0370240355630054,0.6440571513696008,0.11593028724652836,0.0,MySGD,0.18
13,3.104355469581298,1.625527855624488e-07,0.9637022881519849,0.6208710939166001,0.11175679690498797,0.0,MySGD,0.18
14,2.992598672676371,4.551477995748567e-08,0.895564681570442,0.598519734535302,0.10773355221635415,0.0,MySGD,0.18
15,2.884865120460022,1.2744138388095987e-08,0.832244676324682,0.5769730240920067,0.10385514433656115,0.0,MySGD,0.18
16,2.7810099761234612,3.5683587486668763e-09,0.7734016487298215,0.5562019952246925,0.10011635914044485,0.0,MySGD,0.18
17,2.6808936169830164,9.991404496267253e-10,0.7187190585580281,0.5361787233966033,0.09651217021138869,0.0,MySGD,0.18
18,2.5843814467716277,2.7975932589548315e-10,0.6679027462417412,0.5168762893543256,0.09303773208377875,0.0,MySGD,0.18
19,2.491343714687849,7.833261125073529e-11,0.620679350471465,0.49826874293756984,0.08968837372876237,0.0,MySGD,0.18
20,2.4016553409590866,2.1933131150205886e-11,0.5767948376757307,0.48033106819181737,0.08645959227452726,0.0,MySGD,0.18
21,2.3151957486845594,6.141276722057648e-12,0.5360131354727058,0.4630391497369119,0.08334704695264428,0.0,MySGD,0.18
22,2.231848701731915,1.7195574821761413e-12,0.49811486274224354,0.44636974034638305,0.08034655326234885,0.0,MySGD,0.18
23,2.1515021484695662,4.814760950093195e-13,0.46289614948691593,0.43030042969391324,0.07745407734490417,0.0,MySGD,0.18
24,2.074048071124662,1.3481330660260946e-13,0.43016754013359315,0.41480961422493245,0.07466573056048786,0.0,MySGD,0.18
25,1.9993823405641742,3.7747725848730654e-14,0.39975297437598756,0.39987646811283484,0.07197776426031033,0.0,MySGD,0.18
26,1.9274045763038639,1.0569363237644585e-14,0.3714888400757077,0.38548091526077277,0.06938656474693916,0.0,MySGD,0.18
27,1.8580180115569247,2.9594217065404844e-15,0.34522309312699484,0.37160360231138495,0.06688864841604936,0.0,MySGD,0.18
28,1.7911293631408753,8.286380778313357e-16,0.3208144395505438,0.35822587262817507,0.0644806570730716,0.0,MySGD,0.18
29,1.7266487060678037,2.32018661792774e-16,0.2981315754165621,0.34532974121356075,0.06215935341844103,0.0,MySGD,0.18
30,1.6644893526493627,6.496522530197671e-17,0.27705248050830944,0.3328978705298726,0.0599216166953771,0.0,MySGD,0.18
31,1.6045677359539856,1.8190263084553482e-17,0.25746376192644993,0.3209135471907971,0.05776443849434343,0.0,MySGD,0.18
32,1.5468032974596422,5.093273663674975e-18,0.23926004410320223,0.3093606594919285,0.05568491870854708,0.0,MySGD,0.18
33,1.491118378751095,1.4261166258289929e-18,0.22234340194492944,0.298223675750219,0.05368026163503936,0.0,MySGD,0.18
34,1.4374381171160557,3.99312655232118e-19,0.20662283405381518,0.28748762342321116,0.0517477722161781,0.0,MySGD,0.18
35,1.3856903448998776,1.1180754346499303e-19,0.1920137731948742,0.27713806897997556,0.04988485241639551,0.0,MySGD,0.18
36,1.3358054924834821,3.1306112170198046e-20,0.17843763137490384,0.26716109849669645,0.04808899772940545,0.0,MySGD,0.18
37,1.2877164947540767,8.765711407655453e-21,0.16582137708617262,0.25754329895081535,0.0463577938111468,0.0,MySGD,0.18
38,1.2413587009429299,2.454399194143527e-21,0.15409714244067185,0.248271740188586,0.044688913233945415,0.0,MySGD,0.18
39,1.1966697877089845,6.8723177436018745e-22,0.1432018580815466,0.2393339575417969,0.043080112357523515,0.0,MySGD,0.18
40,1.153589675351461,1.924248968208525e-22,0.13307691390774892,0.2307179350702922,0.04152922831265249,0.0,MySGD,0.18
41,1.1120604470388085,5.38789711098387e-23,0.12366784378681546,0.2224120894077617,0.0400341760933971,0.0,MySGD,0.18
42,1.0720262709454114,1.5086111910754838e-23,0.11492403255971247,0.2144052541890823,0.038592945754034824,0.0,MySGD,0.18
43,1.0334333251913765,4.224111335011355e-24,0.10679844376161055,0.20668666503827532,0.03720359970688958,0.0,MySGD,0.18
44,0.996229725484487,1.1827511738031793e-24,0.09924736659388964,0.19924594509689741,0.03586427011744153,0.0,MySGD,0.18
45,0.9603654553670454,3.3117032866489016e-25,0.09223018078623525,0.19207309107340909,,,MySGD,0.18
0,5.0,2.5,15.0,10.04987562112089,0.5024937810560445,0.5024937810560445,MyMomentum,0.05
1,4.95,2.0,10.45025,8.061023508215317,0.8552369554690678,0.8552369554690678,MyMomentum,0.05
2,4.8555,1.15,5.002588025,4.701386519953449,1.0039299258538916,1.0039299258538916,MyMomentum,0.05
3,4.721895,0.1549999999999998,2.2776792391025,1.1297131032439163,0.9415127492954636,0.9415127492954636,MyMomentum,0.05
4,4.55443155,-0.7715000000000002,3.2647091743635412,3.2176248802098453,0.7073236512917389,0.7073236512917391,MyMomentum,0.05
5,4.3581701295,-1.45105,6.110456892766605,5.869283049496476,0.3895944511835478,0.38959445118354763,MyMomentum,0.05
6,4.137953149755,-1.7724349999999998,7.995317285406731,7.13787920312348,0.24829904146546966,0.24829904146546977,MyMomentum,0.05
7,3.89837833648695,-1.7071944999999997,7.3487614870995746,6.873143612602578,0.4742847583980957,0.4742847583980957,MyMomentum,0.05
8,3.6437772211808355,-1.3070391499999996,4.744413923025077,5.278703053935446,0.6759094327348633,0.6759094327348633,MyMomentum,0.05
9,3.378198445193524,-0.6854915049999996,2.0810196803651233,2.823980638077915,0.748011616750276,0.748011616750276,MyMomentum,0.05
10,3.1053955623530083,0.010999676500000333,0.964590145634385,0.6226356479329984,0.683134230034112,0.6831342300341121,MyMomentum,0.05
11,2.8288190121730143,0.6356418045500002,1.6083027077463123,2.604752721317429,0.5158603327050649,0.515860332705065,MyMomentum,0.05
12,2.5516119268892896,1.070691358885,2.943832314526383,4.3130625676975605,0.32726041270427164,0.32726041270427153,MyMomentum,0.05
13,2.276609430865044,1.2480976860094999,3.6337907177149025,5.0131111459037525,0.284844992643127,0.28484499264312707,MyMomentum,0.05
14,2.006341090134573,1.1581438432196498,3.0851347801714004,4.649921587317338,0.4087055837530899,0.4087055837530899,MyMomentum,0.05
15,1.7430361725758032,0.8455566160648548,1.7337494918328669,3.4001445350886303,0.5173179237692422,0.5173179237692422,MyMomentum,0.05
16,1.4886313850471524,0.39511678841256825,0.5338368930256648,1.6082653263032478,0.5423330065313681,0.5423330065313681,MyMomentum,0.05
17,1.244780762420895,-0.0893024141570033,0.17089775699785237,0.43540544857411795,0.4781270419667527,0.4781270419667528,MyMomentum,0.05
18,1.0128673944330546,-0.507419213638217,0.6175385526090134,2.039760806628034,0.35131519369699615,0.35131519369699615,MyMomentum,0.05
19,0.7940166892996676,-0.782240490443666,1.2868466200677344,3.1329892209115893,0.22415969899195348,0.22415969899195354,MyMomentum,0.05
20,0.5891108877866227,-0.8731315414798368,1.5594225412647862,3.4945129968502973,0.21173771883497886,0.21173771883497886,MyMomentum,0.05
21,0.39880455754701594,-0.7803071791164233,1.2336630950732872,3.1222476685065987,0.29686217440937857,0.2968621744093785,MyMomentum,0.05
22,0.2235408147558997,-0.5407038171660664,0.5897182853820832,2.163277306819851,0.3611471049495703,0.3611471049495703,MyMomentum,0.05
23,0.0635680380963361,-0.2169200279775319,0.09451268662228816,0.8677732494281373,0.3646866410707385,0.3646866410707385,MyMomentum,0.05
24,-0.08104314127823453,0.11786938788765555,0.02844318427684559,0.4717560823625906,0.3063761691808964,0.3063761691808964,MyMomentum,0.05
25,-0.21038277130256577,0.39560598458879315,0.3174342811310316,1.5829832459940734,0.2055524522702654,0.20555245227026545,MyMomentum,0.05
26,-0.3246846106114383,0.5664477247020583,0.6522680592770677,2.2667212446564613,0.10753029042640237,0.10753029042640239,MyMomentum,0.05
27,-0.4243094198833091,0.6069157458635853,0.7546972935344751,2.4291457553194498,0.12047811059701731,0.1204781105970173,MyMomentum,0.05
