cell_index,cell_type,origin,original_index,inserted_after_original_index,purpose,first_80_chars,sha256_source
0,markdown,ssot_original,0,,,# Week 13 숙제: Optimizer 비교 실험  ## 학습 목표  - SGD / Momentum / RMSProp / Adam 의 **수,5ccdaf32aabc5538f880de3f2adbc6a98d6504d0c2d74639e47ab52f7265d8c1
1,code,ssot_original,1,,,import numpy as np import matplotlib.pyplot as plt from neural_network_v2 import,df0f89688982a7f106354b62de22995b7c2595bd1d57074005ec4163ee3d1006
2,markdown,ssot_original,2,,,--- ## Part 1: Optimizer 4 종 직접 구현 (20 점)  `neural_network_v2.py` 의 `Optimizer` ,2827f53e18bcb9497ab7b8da6aa2cd171bff414f36c580f89b96b057cafc1e92
3,markdown,ssot_original,3,,,### 1.1 MySGD (5 점)  $$\theta \leftarrow \theta - \eta \cdot \nabla L$$,41dab8414d19c6cc58514fb7d123dc5806e4e960d3467616c95cfe704652beb2
4,code,ssot_original,4,,,"class MySGD(Optimizer):     def __init__(self, lr=0.01):         self.lr = lr   ",1bdf6943461e1962742f9a7c6f211559becd43efc3a0ae74dc5b222e344fe970
5,markdown,ssot_original,5,,,### 1.2 MyMomentum (5 점)  $$v \leftarrow \mu \cdot v - \eta \cdot \nabla L$$ $$\,7f28b789cc1e0307850dddefa19c0b481005c4c723b7cea8650a2f62b1000b48
6,code,ssot_original,6,,,"class MyMomentum(Optimizer):     def __init__(self, lr=0.01, mu=0.9):         se",777bfcbca77f94fec1318c773ddaca28cb009c1966bebbab2f542c2f47c0a329
7,markdown,ssot_original,7,,,### 1.3 MyRMSProp (5 점)  $$s \leftarrow \rho \cdot s + (1-\rho) \cdot g^2$$ $$\t,33695e4258ac325ea7563538cbc47d29d01d132609e560a77c62a4d1f0d20711
8,code,ssot_original,8,,,"class MyRMSProp(Optimizer):     def __init__(self, lr=0.001, rho=0.9, eps=1e-8):",20bc8977eaa2d1217ac9c240a2760e550bd24b857c24a55aa628e558a6d843fc
9,markdown,ssot_original,9,,,### 1.4 MyAdam (5 점)  $$m \leftarrow \beta_1 \cdot m + (1-\beta_1) \cdot g$$ $$v,d84f6b5883f7f4c6341ad0aa5e24c1170334f3f04bfda424384777cbf590e826
10,code,ssot_original,10,,,"class MyAdam(Optimizer):     def __init__(self, lr=0.001, beta1=0.9, beta2=0.999",43b8139c662815f8ff335f16c49629e011036ebf082801e2d60993468ab3d4ab
11,markdown,ssot_original,11,,,### 1.5 동작 확인 (검증용)  XOR 에서 4개 모두 학습되는지 확인. 1000 epoch 안에 loss < 0.05 가 나와야 정상.,f0a123c21f53998a3bd19e8be70c34d42e2b922a75f89bfd7ece46dd99b9349f
